Mark,Athlete,Nation,Venue,Date,Sex,Event
12.38,Yordanka Donkova,BUL,Budapest,11-Aug-1986,female,100mh
12.38,Yordanka Donkova,BUL,Stuttgart (Neckarstadion),29-Aug-1986,female,100mh
12.38,Yordanka Donkova,BUL,Seoul (Olympic Stadium),30-Sep-1988,female,100mh
12.39,Jasmin Stowers,USA,"Kingston (NS), JAM",9-May-2015,female,100mh
12.39,Brianna Rollins,USA,"Eugene, OR",8-Jun-2013,female,100mh
12.39,Gail Devers,USA,Zürich,11-Aug-2000,female,100mh
12.39,Natalya Grigoryeva,URS,Kyiv,11-Jul-1991,female,100mh
12.39,Vera Komisova,URS,Roma (Stadio Olimpico),5-Aug-1980,female,100mh
12.39,Sally Pearson,AUS,London (Olympic Stadium),7-Aug-2012,female,100mh
12.39,Ginka Zagorcheva,BUL,Ljubljana,7-Sep-1986,female,100mh
12.4,Kendra Harrison,USA,London (Olympic Stadium),22-Jul-2016,female,100mh
12.4,Jasmin Stowers,USA,"Des Moines, IA",25-Apr-2015,female,100mh
12.4,Yordanka Donkova,BUL,Moskva,8-Jul-1986,female,100mh
12.4,Gail Devers,USA,Lausanne (Pontaise),2-Jul-2002,female,100mh
12.4,Sally Pearson,AUS,Paris Saint-Denis (Stade de France),6-Jul-2012,female,100mh
12.42,Bettine Jahn,GDR,Berlin,8-Jun-1983,female,100mh
12.42,Kendra Harrison,USA,Lausanne (Pontaise),25-Aug-2016,female,100mh
12.42,Gail Devers,USA,Stockholm,16-Jul-2002,female,100mh
12.42,Anjanette Kirkland,USA,Edmonton (Commonwealth Stadium),11-Aug-2001,female,100mh
12.42,Ludmila Engquist,EUN,Roma (Stadio Olimpico),9-Jun-1992,female,100mh
12.42,Kendra Harrison,USA,"George Town, CAY",14-May-2016,female,100mh
12.42,Ginka Zagorcheva,BUL,Sofia,14-Aug-1985,female,100mh
12.42,Gail Devers,USA,Monaco (Stade Louis II),19-Jul-2002,female,100mh
12.42,Yordanka Donkova,BUL,Bruxelles,5-Sep-1986,female,100mh
12.43,Queen Harrison,USA,"Des Moines, IA",22-Jun-2013,female,100mh
12.43,Michelle Perry,USA,Lausanne (Pontaise),11-Jul-2006,female,100mh
12.43,Michelle Perry,USA,"Carson, CA",26-Jun-2005,female,100mh
12.43,Lucyna Kalek-Langer,POL,Hannover,19-Aug-1984,female,100mh
12.43,Ginka Zagorcheva,BUL,Budapest,6-Jul-1987,female,100mh
12.43,LoLo Jones,USA,Beijing (National Stadium),18-Aug-2008,female,100mh
12.43,Dawn Harper Nelson,USA,Lausanne (Pontaise),23-Aug-2012,female,100mh
12.44,Gloria Siebert,GDR,Roma (Stadio Olimpico),4-Sep-1987,female,100mh
12.44,Brianna Rollins,USA,Moskva (Luzhniki),17-Aug-2013,female,100mh
12.44,Michelle Perry,USA,Roma (Stadio Olimpico),13-Jul-2007,female,100mh
12.44,Damu Cherry,USA,Lausanne (Pontaise),11-Jul-2006,female,100mh
12.44,Glory Alozie,NGR,Bruxelles,28-Aug-1998,female,100mh
12.44,Olga Shishigina,KAZ,Luzern,27-Jun-1995,female,100mh
12.44,Natalya Grigoryeva,UKR,Caorle,20-Jul-1991,female,100mh
12.44,Yordanka Donkova,BUL,Sofia,7-Aug-1982,female,100mh
12.44,Lucyna Kalek-Langer,POL,Warszawa,13-Jun-1980,female,100mh
12.44,Natalya Grigoryeva,UKR,Paris Saint-Denis,19-Jul-1991,female,100mh
12.44,Glory Alozie,NGR,Monaco (Stade Louis II),8-Aug-1998,female,100mh
12.44,Glory Alozie,NGR,Sevilla (La Cartuja),28-Aug-1999,female,100mh
12.44,Ludmila Engquist,URS,Kyiv,11-Jul-1991,female,100mh
12.44,Dawn Harper Nelson,USA,Paris Saint-Denis (Stade de France),5-Jul-2014,female,100mh
12.44,Kendra Harrison,USA,Paris Saint-Denis (Stade de France),27-Aug-2016,female,100mh
12.45,Cornelia Oschkenat,GDR,Neubrandenburg (Jahn Sportpark),11-Jun-1987,female,100mh
12.45,LoLo Jones,USA,"Eugene, OR",6-Jul-2008,female,100mh
12.45,Ginnie Crawford,USA,"New York City (Icahn), NY",2-Jun-2007,female,100mh
12.45,Michelle Perry,USA,Réthimno,10-Jul-2005,female,100mh
12.45,Michelle Perry,USA,"New York, NY",11-Jun-2005,female,100mh
12.45,Olena Krasovska,UKR,Athína (Olympic Stadium),24-Aug-2004,female,100mh
12.45,Brigitte Foster-Hylton,JAM,"Eugene, OR",24-May-2003,female,100mh
12.45,Yordanka Donkova,BUL,Budapest,12-Aug-1988,female,100mh
12.45,Lucyna Kalek-Langer,POL,Athína,9-Sep-1982,female,100mh
12.45,Lucyna Kalek-Langer,POL,Athína,8-Sep-1982,female,100mh
12.45,Gail Devers,USA,Monaco (Stade Louis II),14-Sep-2003,female,100mh
12.46,Cornelia Oschkenat,GDR,Roma (Stadio Olimpico),4-Sep-1987,female,100mh
12.46,Dawn Harper Nelson,USA,London (Olympic Stadium),7-Aug-2012,female,100mh
12.46,Michelle Perry,USA,Osaka (Nagai Stadium),29-Aug-2007,female,100mh
12.46,Joanna Hayes,USA,Berlin (Olympiastadion),12-Sep-2004,female,100mh
12.46,Perdita Felicien,CAN,"Eugene, OR",19-Jun-2004,female,100mh
12.46,Gail Devers,USA,Stuttgart (Gottlieb-Daimler Stadion),20-Aug-1993,female,100mh
12.46,Cornelia Oschkenat,GER,Karl-Marx-Stadt,21-Jun-1987,female,100mh
12.46,Cornelia Oschkenat,GER,Karl-Marx-Stadt,21-Jun-1987,female,100mh
12.46,Queen Harrison,USA,Paris Saint-Denis (Stade de France),5-Jul-2014,female,100mh
12.46,Glory Alozie,NGR,Salamanca (Helmántico),10-Jul-1998,female,100mh
12.46,Brigitte Foster-Hylton,JAM,Zürich (Letzigrund),28-Aug-2009,female,100mh
03:50.1,Genzebe Dibaba,ETH,Monaco (Stade Louis II),17-Jul-2015,female,1500m
03:50.5,Yunxia Qu,CHN,Beijing (NOCAS),11-Sep-1993,female,1500m
03:51.0,Bo Jiang,CHN,Shanghai,18-Oct-1997,female,1500m
03:51.3,Yinglai Lang,CHN,Shanghai,18-Oct-1997,female,1500m
03:51.9,Junxia Wang,CHN,Beijing (NOCAS),11-Sep-1993,female,1500m
03:52.5,Tatyana Kazankina,URS,Zürich (Letzigrund),13-Aug-1980,female,1500m
03:53.9,Lili Yin,CHN,Shanghai,18-Oct-1997,female,1500m
03:54.0,Paula Ivan,ROU,Seoul (Olympic Stadium),1-Oct-1988,female,1500m
03:54.0,Lixin Lan,CHN,Shanghai,18-Oct-1997,female,1500m
03:54.1,Genzebe Dibaba,ETH,Barcelona (Serrahima),8-Jul-2015,female,1500m
03:54.2,Olga Dvirna,URS,Kyiv,27-Jul-1982,female,1500m
03:54.5,Ling Zhang,CHN,Shanghai,18-Oct-1997,female,1500m
03:55.0,Tatyana Kazankina,URS,Moskva,6-Jul-1980,female,1500m
03:55.0,Lixin Lan,CHN,Shanghai,17-Oct-1997,female,1500m
03:55.1,Yanmei Dong,CHN,Shanghai,18-Oct-1997,female,1500m
03:55.2,Laura Muir,GBR,Paris Saint-Denis (Stade de France),27-Aug-2016,female,1500m
03:55.3,Hassiba Boulmerka,ALG,Barcelona (Estadio Olímpico),8-Aug-1992,female,1500m
03:55.3,Süreyya Ayhan,TUR,Bruxelles (Boudewijnstadion),5-Sep-2003,female,1500m
03:55.4,Yunxia Qu,CHN,Shanghai,17-Oct-1997,female,1500m
03:55.5,Ling Zhang,CHN,Shanghai,17-Oct-1997,female,1500m
03:55.6,Süreyya Ayhan,TUR,Zürich,15-Aug-2003,female,1500m
03:55.7,Yuliya Fomenko,RUS,Paris Saint-Denis,8-Jul-2006,female,1500m
03:55.8,Yanmei Dong,CHN,Shanghai,17-Oct-1997,female,1500m
03:56.0,Tatyana Kazankina,URS,Podolsk,28-Jun-1976,female,1500m
03:56.0,Sifan Hassan,NED,Monaco (Stade Louis II),17-Jul-2015,female,1500m
03:56.1,Zamira Zaitseva,URS,Kyiv,27-Jul-1982,female,1500m
03:56.2,Maryam Yusuf Jamal,BRN,Rieti,27-Aug-2006,female,1500m
03:56.2,Paula Ivan,ROU,Zürich (Letzigrund),17-Aug-1988,female,1500m
03:56.3,Shannon Rowbury,USA,Monaco (Stade Louis II),17-Jul-2015,female,1500m
03:56.3,Dong Liu,CHN,Shanghai,17-Oct-1997,female,1500m
03:56.4,Faith Chepngetich Kipyegon,KEN,"Eugene (Hayward Field), OR",28-May-2016,female,1500m
03:56.4,Elena Soboleva,RUS,Paris Saint-Denis,8-Jul-2006,female,1500m
03:56.5,Tatyana Pozdnyakova,UKR,Kyiv,27-Jul-1982,female,1500m
03:56.5,Abeba Aregawi,ETH,Roma (Stadio Olimpico),31-May-2012,female,1500m
03:56.5,Maryam Yusuf Jamal,BRN,Roma (Stadio Olimpico),10-Jul-2009,female,1500m
03:56.6,Tatyana Kazankina,URS,Moskva (Lenin Stadium),1-Aug-1980,female,1500m
03:56.6,Abeba Aregawi,SWE,Doha (Hamad Bin Suhaim),10-May-2013,female,1500m
03:56.6,Nadezhda Ralldugina,URS,Praha (Stadion Rošický),18-Aug-1984,female,1500m
03:56.7,Yekaterina Podkopayeva,URS,Rieti,2-Sep-1984,female,1500m
03:56.7,Doina Melinte,ROU,Bucuresti,12-Jul-1986,female,1500m
03:56.7,Lyubov Smolka,URS,Moskva,6-Jul-1980,female,1500m
03:56.7,Faith Chepngetich Kipyegon,KEN,Paris Saint-Denis (Stade de France),27-Aug-2016,female,1500m
03:56.7,Elena Soboleva,RUS,Athína (Olympic Stadium),3-Jul-2006,female,1500m
03:56.8,Svetlana Masterkova,RUS,Zürich,14-Aug-1996,female,1500m
03:56.8,Maryam Yusuf Jamal,BRN,Rieti,28-Aug-2005,female,1500m
03:56.8,Nadezhda Olizarenko,URS,Moskva,6-Jul-1980,female,1500m
03:56.8,Faith Chepngetich Kipyegon,KEN,Shanghai,14-May-2016,female,1500m
03:56.9,Zamira Zaitseva,URS,Moskva,6-Jul-1980,female,1500m
03:56.9,Tatyana Tomashova,RUS,Göteborg (Ullevi Stadium),13-Aug-2006,female,1500m
03:56.9,Lyudmila Rogachova,EUN,Barcelona (Estadio Olímpico),8-Aug-1992,female,1500m
03:57.0,Gabriela Szabo,ROU,Monaco (Stade Louis II),8-Aug-1998,female,1500m
03:57.0,Faith Chepngetich Kipyegon,KEN,Doha (Hamad Bin Suhaim),10-May-2013,female,1500m
03:57.0,Sifan Hassan,NED,Paris Saint-Denis (Stade de France),5-Jul-2014,female,1500m
03:57.0,Jing Liu,CHN,Shanghai,17-Oct-1997,female,1500m
03:57.1,Hellen Onsando Obiri,KEN,"Eugene (Hayward Field), OR",31-May-2014,female,1500m
03:57.1,Svetlana Guskova,URS,Kyiv,27-Jul-1982,female,1500m
03:57.1,Yunxia Qu,CHN,Barcelona (Estadio Olímpico),8-Aug-1992,female,1500m
03:57.1,Svetlana Masterkova,RUS,Monaco (Stade Louis II),8-Aug-1998,female,1500m
03:57.1,Mary Slaney,USA,Stockholm,26-Jul-1983,female,1500m
03:57.1,Sifan Hassan,NED,Paris Saint-Denis (Stade de France),27-Aug-2016,female,1500m
03:57.1,Yinglai Lang,CHN,Shanghai,17-Oct-1997,female,1500m
03:57.2,Jennifer Simpson,USA,Paris Saint-Denis (Stade de France),5-Jul-2014,female,1500m
03:57.2,Maricica Puica,ROU,Bucuresti,1-Jul-1984,female,1500m
03:57.2,Mary Slaney,USA,Bruxelles,30-Aug-1985,female,1500m
03:57.3,Bo Jiang,CHN,Shanghai,17-Oct-1997,female,1500m
03:57.3,Yuliya Fomenko,RUS,Rieti,27-Aug-2006,female,1500m
03:57.3,Jennifer Simpson,USA,Monaco (Stade Louis II),17-Jul-2015,female,1500m
03:57.4,Yekaterina Podkopayeva,URS,Moskva,6-Jul-1980,female,1500m
03:57.4,Totka Petrova,BUL,Athína,11-Aug-1979,female,1500m
03:57.4,Suzy Favor Hamilton,USA,Oslo (Bislett),28-Jul-2000,female,1500m
03:57.4,Jackline Maranga,KEN,Monaco (Stade Louis II),8-Aug-1998,female,1500m
03:57.5,Linli Zhang,CHN,Beijing (NOCAS),11-Sep-1993,female,1500m
03:57.5,Maricica Puica,ROU,Bucuresti,31-Jul-1981,female,1500m
03:57.5,Laura Muir,GBR,London (Olympic Stadium),22-Jul-2016,female,1500m
03:57.5,Tatyana Tomashova,RUS,Rieti,27-Aug-2006,female,1500m
03:57.5,Genzebe Dibaba,ETH,Doha (Hamad Bin Suhaim),10-May-2013,female,1500m
03:57.6,Abeba Aregawi,SWE,"Eugene (Hayward Field), OR",31-May-2014,female,1500m
03:57.6,Yuliya Fomenko,RUS,Göteborg (Ullevi Stadium),13-Aug-2006,female,1500m
03:57.7,Tatyana Pozdnyakova,UKR,Rieti,2-Sep-1984,female,1500m
03:57.7,Carla Sacramento,POR,Monaco (Stade Louis II),8-Aug-1998,female,1500m
03:57.7,Christiane Wartenberg,GER,Moskva (Lenin Stadium),1-Aug-1980,female,1500m
03:57.7,Süreyya Ayhan,TUR,Monaco (Stade Louis II),13-Sep-2003,female,1500m
03:57.7,Galina Zakharova,URS,Baku,14-Sep-1984,female,1500m
03:57.7,Natalya Evdokimova,RUS,Rieti,28-Aug-2005,female,1500m
03:57.7,Maricica Puica,ROU,Bruxelles,30-Aug-1985,female,1500m
03:57.7,Süreyya Ayhan,TUR,Bruxelles,30-Aug-2002,female,1500m
03:57.8,Jing Liu,CHN,Shanghai,18-Oct-1997,female,1500m
03:57.8,Genzebe Dibaba,ETH,Shanghai (SS),19-May-2012,female,1500m
03:57.8,Olga Dvirna,RUS,Budapest,29-Jul-1981,female,1500m
03:57.8,Shannon Rowbury,USA,Zürich (Letzigrund),1-Sep-2016,female,1500m
03:57.8,Olga Dvirna,RUS,Athína,11-Sep-1982,female,1500m
03:57.8,Maricica Puica,ROU,Tirrenia,25-Aug-1982,female,1500m
03:57.8,Yunxia Qu,CHN,Shanghai,18-Oct-1997,female,1500m
03:57.8,Laura Muir,GBR,Zürich (Letzigrund),1-Sep-2016,female,1500m
03:57.9,Kelly Holmes,GBR,Athína (Olympic Stadium),28-Aug-2004,female,1500m
03:57.9,Tatyana Samolenko-Dorovskikh,EUN,Barcelona (Estadio Olímpico),8-Aug-1992,female,1500m
03:58.0,Junxia Wang,CHN,Jinan,2-Jun-1993,female,1500m
03:58.0,Shannon Rowbury,USA,Paris Saint-Denis (Stade de France),27-Aug-2016,female,1500m
03:58.0,Faith Chepngetich Kipyegon,KEN,"Eugene (Hayward Field), OR",31-May-2014,female,1500m
03:58.0,Yuliya Fomenko,RUS,Athína (Olympic Stadium),3-Jul-2006,female,1500m
21.34,Florence Griffith-Joyner,USA,Seoul (Olympic Stadium),29-Sep-1988,female,200m
21.56,Florence Griffith-Joyner,USA,Seoul (Olympic Stadium),29-Sep-1988,female,200m
21.62,Marion Jones,USA,Johannesburg (SGJ),11-Sep-1998,female,200m
21.63,Dafne Schippers,NED,Beijing (National Stadium),28-Aug-2015,female,200m
21.64,Merlene Ottey,JAM,Bruxelles,13-Sep-1991,female,200m
21.66,Elaine Thompson,JAM,Beijing (National Stadium),28-Aug-2015,female,200m
21.66,Merlene Ottey,JAM,Zürich,15-Aug-1990,female,200m
21.69,Allyson Felix,USA,"Eugene, OR",30-Jun-2012,female,200m
21.71,Marita Koch,GDR,Karl-Marx-Stadt,10-Jun-1979,female,200m
21.71,Marita Koch,GDR,Potsdam,21-Jul-1984,female,200m
21.71,Heike Drechsler,GDR,Jena,29-Jun-1986,female,200m
21.71,Heike Drechsler,GDR,Stuttgart,29-Aug-1986,female,200m
21.72,Grace Jackson,JAM,Seoul (Olympic Stadium),29-Sep-1988,female,200m
21.72,Gwen Torrence,USA,Barcelona (Estadio Olímpico),5-Aug-1992,female,200m
21.74,Marlies Göhr,GDR,Erfurt,3-Jun-1984,female,200m
21.74,Silke Gladisch-Möller,GDR,Roma (Stadio Olimpico),3-Sep-1987,female,200m
21.74,Veronica Campbell-Brown,JAM,Beijing (National Stadium),21-Aug-2008,female,200m
21.75,Juliet Cuthbert,JAM,Barcelona (Estadio Olímpico),5-Aug-1992,female,200m
21.76,Marita Koch,GDR,Dresden,3-Jul-1982,female,200m
21.76,Marion Jones,USA,Zürich,13-Aug-1997,female,200m
21.76,Florence Griffith-Joyner,USA,Seoul (Olympic Stadium),28-Sep-1988,female,200m
21.77,Inger Miller,USA,Sevilla (La Cartuja),27-Aug-1999,female,200m
21.77,Merlene Ottey,JAM,Monaco (Stade Louis II),7-Aug-1993,female,200m
21.77,Gwen Torrence,USA,Köln,18-Aug-1995,female,200m
21.77,Florence Griffith-Joyner,USA,"Indianapolis (University Stadium), IN",22-Jul-1988,female,200m
21.78,Marita Koch,GDR,Leipzig,11-Aug-1985,female,200m
21.78,Elaine Thompson,JAM,Rio de Janeiro (Estádio Olímpico),17-Aug-2016,female,200m
21.79,Silke Gladisch-Möller,GDR,Potsdam,22-Aug-1987,female,200m
21.8,Marion Jones,USA,"Uniondale (Mitchel AC), NY",20-Jul-1998,female,200m
21.8,Merlene Ottey,JAM,Nice,10-Jul-1990,female,200m
21.81,Allyson Felix,USA,Osaka (Nagai Stadium),31-Aug-2007,female,200m
21.81,Marion Jones,USA,"Eugene, OR",30-May-1999,female,200m
21.81,Gwen Torrence,USA,Monaco (Stade Louis II),25-Jul-1995,female,200m
21.81,Merlene Ottey,JAM,Köln,19-Aug-1990,female,200m
21.81,Valerie Brisco-Hooks,USA,Los Angeles (Memorial Coliseum),9-Aug-1984,female,200m
21.81,Gwen Torrence,USA,Barcelona (Estadio Olímpico),6-Aug-1992,female,200m
21.82,Marita Koch,GDR,Karl-Marx-Stadt,18-Jun-1983,female,200m
21.83,Merlene Ottey,JAM,Köln,8-Sep-1991,female,200m
21.83,Evelyn Ashford,USA,Montréal (Olympic Stadium),24-Aug-1979,female,200m
21.84,Marion Jones,USA,Roodepoort,19-Mar-1999,female,200m
21.84,Evelyn Ashford,USA,Bruxelles,28-Aug-1981,female,200m
21.84,Heike Drechsler,GER,Rostock,26-Aug-1988,female,200m
21.85,Bärbel Wöckel,GDR,Potsdam,21-Jul-1984,female,200m
21.85,Elaine Thompson,JAM,Zürich (Letzigrund),1-Sep-2016,female,200m
21.85,Gwen Torrence,USA,"Durham, NC",12-Aug-1994,female,200m
21.85,Florence Griffith-Joyner,USA,"Indianapolis (University Stadium), IN",23-Jul-1988,female,200m
21.86,Dafne Schippers,NED,Zürich (Letzigrund),1-Sep-2016,female,200m
21.86,Gwen Torrence,USA,Bruxelles,25-Aug-1995,female,200m
21.87,Marita Koch,GDR,Zürich,22-Aug-1984,female,200m
21.87,Irina Privalova,RUS,Monaco (Stade Louis II),25-Jul-1995,female,200m
21.88,Allyson Felix,USA,London (Olympic Stadium),8-Aug-2012,female,200m
21.88,Allyson Felix,USA,Stockholm,31-Jul-2009,female,200m
21.88,Irina Privalova,RUS,Rieti,5-Sep-1993,female,200m
21.88,Merlene Ottey,JAM,Athína,7-Sep-1990,female,200m
21.88,Evelyn Ashford,USA,"Indianapolis, IN",19-Jun-1983,female,200m
21.88,Merlene Ottey,JAM,Sestriere,8-Aug-1990,female,200m
21.88,Dafne Schippers,NED,Rio de Janeiro (Estádio Olímpico),17-Aug-2016,female,200m
21.9,Marita Koch,GDR,Dresden,3-Aug-1985,female,200m
21.9,Marita Koch,GDR,Canberra (Bruce Stadium),4-Oct-1985,female,200m
21.91,Marion Jones,USA,Helsinki,10-Jun-1999,female,200m
21.92,Marion Jones,USA,Monaco (Stade Louis II),16-Aug-1997,female,200m
21.92,Gwen Torrence,USA,Bruxelles,3-Sep-1993,female,200m
21.93,Merlene Ottey,JAM,Bruxelles,25-Aug-1995,female,200m
21.93,Irina Privalova,RUS,København,25-Aug-1992,female,200m
21.93,Pam Marshall,USA,"Indianapolis (University Stadium), IN",23-Jul-1988,female,200m
21.93,Merlene Ottey,JAM,"Indianapolis, IN",16-Jun-1985,female,200m
21.93,Dafne Schippers,NED,Oslo (Bislett),9-Jun-2016,female,200m
21.93,Marion Jones,USA,Köln,24-Aug-1997,female,200m
21.93,Allyson Felix,USA,Beijing (National Stadium),21-Aug-2008,female,200m
21.94,Marion Jones,USA,"Sacramento, CA",23-Jul-2000,female,200m
21.94,Gwen Torrence,USA,Oslo (Bislett),22-Jul-1994,female,200m
21.94,Merlene Ottey,JAM,Barcelona (Estadio Olímpico),3-Aug-1992,female,200m
21.94,Heike Drechsler,GER,Düsseldorf,23-Jul-1988,female,200m
21.94,Veronica Campbell-Brown,JAM,"Kingston (NS), JAM",29-Jun-2008,female,200m
21.94,Merlene Ottey,JAM,Berlin,4-Jul-1990,female,200m
21.95,Heike Drechsler,GDR,Seoul (Olympic Stadium),29-Sep-1988,female,200m
21.95,Katrin Krabbe,GDR,Split (Poljud Stadion),30-Aug-1990,female,200m
21.96,Dafne Schippers,NED,Rio de Janeiro (Estádio Olímpico),16-Aug-2016,female,200m
21.96,Florence Griffith-Joyner,USA,"Indianapolis (University Stadium), IN",22-Jul-1988,female,200m
21.96,Florence Griffith-Joyner,USA,Roma (Stadio Olimpico),3-Sep-1987,female,200m
21.96,Katrin Krabbe,GER,Berlin,10-Sep-1991,female,200m
21.97,Veronica Campbell-Brown,JAM,Beijing (National Stadium),28-Aug-2015,female,200m
21.97,Jarmila Kratochvílová,TCH,Bratislava,6-Jun-1981,female,200m
21.97,Evelyn Ashford,USA,Zürich (Letzigrund),13-Aug-1986,female,200m
21.97,Merlene Ottey,JAM,Villeneuve-d'Ascq,29-Jun-1990,female,200m
21.98,Allyson Felix,USA,Doha (Hamad Bin Suhaim),15-May-2015,female,200m
21.98,Veronica Campbell-Brown,JAM,"New York City (Icahn), NY",12-Jun-2010,female,200m
21.98,Veronica Campbell-Brown,JAM,Barcelona (Estadio Olímpico),19-Jul-2008,female,200m
21.98,Gwen Torrence,USA,Berlin (Olympiastadion),1-Sep-1995,female,200m
21.98,Gwen Torrence,USA,Zürich,16-Aug-1995,female,200m
21.98,Merlene Ottey,JAM,Monaco (Stade Louis II),3-Aug-1991,female,200m
21.98,Marion Jones,USA,Sydney,28-Feb-1998,female,200m
21.98,Valerie Brisco-Hooks,USA,Zürich (Letzigrund),21-Aug-1985,female,200m
21.98,Merlene Ottey,JAM,Stuttgart (Gottlieb-Daimler Stadion),19-Aug-1993,female,200m
21.99,Silke Gladisch-Möller,GDR,Praha,28-Jun-1987,female,200m
21.99,Marie-José Pérec,FRA,Villeneuve-d'Ascq,2-Jul-1993,female,200m
21.99,Irina Privalova,RUS,Rieti,6-Sep-1992,female,200m
21.99,Merlene Ottey,JAM,Seoul (Olympic Stadium),29-Sep-1988,female,200m
21.99,Chandra Cheeseborough,USA,"Indianapolis, IN",19-Jun-1983,female,200m
21.99,Heike Drechsler,GER,Karl-Marx-Stadt,12-Jun-1988,female,200m
47.6,Marita Koch,GDR,Canberra (Bruce Stadium),6-Oct-1985,female,400m
47.99,Jarmila Kratochvílová,TCH,Helsinki (Olympic Stadium),10-Aug-1983,female,400m
48.16,Marita Koch,GDR,Athína,8-Sep-1982,female,400m
48.16,Marita Koch,GDR,Praha (Stadion Rošický),16-Aug-1984,female,400m
48.22,Marita Koch,GDR,Stuttgart,28-Aug-1986,female,400m
48.25,Marie-José Pérec,FRA,"Atlanta (Olympic Stadium), GA",29-Jul-1996,female,400m
48.26,Marita Koch,GDR,Dresden,27-Jul-1984,female,400m
48.27,Olga Vladykina-Bryzgina,UKR,Canberra (Bruce Stadium),6-Oct-1985,female,400m
48.45,Jarmila Kratochvílová,TCH,Praha,23-Jul-1983,female,400m
48.59,Tatána Kocembová,TCH,Helsinki (Olympic Stadium),10-Aug-1983,female,400m
48.6,Marita Koch,GDR,Torino,4-Aug-1979,female,400m
48.6,Olga Vladykina-Bryzgina,URS,Moskva,17-Aug-1985,female,400m
48.61,Jarmila Kratochvílová,TCH,Roma (Stadio Olimpico),6-Sep-1981,female,400m
48.63,Cathy Freeman,AUS,"Atlanta (Olympic Stadium), GA",29-Jul-1996,female,400m
48.65,Olga Vladykina-Bryzgina,URS,Seoul (Olympic Stadium),26-Sep-1988,female,400m
48.7,Sanya Richards-Ross,USA,Athína (Olympic Stadium),16-Sep-2006,female,400m
48.73,Tatána Kocembová,TCH,Praha (Stadion Rošický),16-Aug-1984,female,400m
48.77,Marita Koch,GDR,Karl-Marx-Stadt,9-Jul-1982,female,400m
48.82,Jarmila Kratochvílová,TCH,Praha,23-Jun-1983,female,400m
48.83,Sanya Richards-Ross,USA,Bruxelles (Boudewijnstadion),4-Sep-2009,female,400m
